row_id,chemical_group,observed_pIC50,chemical_weight,mean,nearest_neighbor,rf_descriptors,rf_retrospective_index
ACT-0071,CHEM-1a3199a60684142c,7.787812396,1.0,6.981637551727273,6.832682665,6.881365990552491,7.787490988975
ACT-0072,CHEM-1867c73baa16cc19,7.844663963,1.0,6.981637551727273,7.100179498,6.955192598295838,7.795128436412506
ACT-0073,CHEM-92008589c6b5efd2,7.787812396,1.0,7.259840336268868,7.987162775,7.701981076066071,7.838750019475003
ACT-0074,CHEM-6a13c48f89cf8463,7.987162775,1.0,7.24040964179717,7.787812396,7.5736413318375,8.006668549737494
ACT-0075,CHEM-fdee6215052f0f83,8.220403509,1.0,6.981637551727273,7.829738285,6.929317186587502,7.951589396187501
ACT-0076,CHEM-77a5a4cd38f10001,7.823908741,0.5,6.981637551727273,6.832682665,6.935288561137503,7.795128436412506
ACT-0077,CHEM-6bf1dd9dd6929a54,6.173925197,0.5,6.981637551727273,7.829738285,6.346140218534993,6.1442558917000065
ACT-0078,CHEM-37e1c2dd4ef2847f,7.716698771,1.0,7.242218865080953,6.15490196,7.151371899595832,7.683975844762502
ACT-0079,CHEM-f9aa79cca2340b18,7.623423043,0.5,6.981637551727273,7.402304814,7.5069799842675,7.696864499549991
ACT-0080,CHEM-73c4e386926a7f99,7.507239611,1.0,6.981637551727273,7.402304814,7.5069799842675,7.500041247775004
ACT-0081,CHEM-f9aa79cca2340b18,7.079354999,0.5,6.981637551727273,7.402304814,7.5069799842675,7.102758424762496
ACT-0082,CHEM-a3ee8353bcdf567b,6.869666232,1.0,6.981637551727273,7.787812396,7.234839708925001,6.900073375825005
ACT-0083,CHEM-492a1c0666493ebf,7.512861625,0.5,6.981637551727273,7.402304814,7.040987037037503,7.4976547357750025
ACT-0084,CHEM-a3697fc0a140db3c,7.838631998,1.0,6.981637551727273,6.832682665,6.978013788471662,7.794920076075004
ACT-0085,CHEM-492a1c0666493ebf,7.950781977,0.5,6.981637551727273,7.402304814,7.040987037037503,7.958829177225001
ACT-0086,CHEM-cc6d31434b6b4602,7.347753659,1.0,6.981637551727273,7.402304814,7.432139131255001,7.359929874549998
ACT-0087,CHEM-601c4eb54046188f,7.627087997,1.0,6.981637551727273,7.829738285,7.515266040218547,7.589392950600002
ACT-0088,CHEM-bbb5db870fe72d3c,6.634512015,1.0,7.24040964179717,6.446116973,7.346556669420414,6.624259929124996
ACT-0089,CHEM-2c2b1fa8ad828b3b,6.35261703,0.5,7.374192064630209,7.548213564,6.816067016712493,6.436513916249995
ACT-0090,CHEM-2129aea8641c3b46,7.54515514,1.0,7.242218865080953,6.498940738,6.778005178732495,7.543755789525004
ACT-0091,CHEM-6bf1dd9dd6929a54,7.71219827,0.5,6.981637551727273,7.829738285,6.346140218534993,7.703377635687495
ACT-0092,CHEM-6dc536ab571bf4e0,7.106793247,1.0,6.981637551727273,7.787812396,7.431878181274996,7.130534418899996
ACT-0093,CHEM-6626cdedbcfdcd80,7.600326279,1.0,6.981637551727273,7.787812396,7.185894532350001,7.536491832912501
